index_code,index_name,query_trading_day,source_api,source_query_code,htsc_code,name,exchange,stock_code,stock_name,stock_exchange,trading_day,weight,in_date,out_date
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000600.SZ,建投能源,XSHE,2019-05-15 00:00:00,0.14,2015-06-15 00:00:00,2021-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000612.SZ,焦作万方,XSHE,2019-05-15 00:00:00,0.11,2012-01-04 00:00:00,2019-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000623.SZ,吉林敖东,XSHE,2019-05-15 00:00:00,0.43,2018-12-17 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000636.SZ,风华高科,XSHE,2019-05-15 00:00:00,0.24,2010-01-04 00:00:00,2025-12-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000656.SZ,金科股份,XSHE,2019-05-15 00:00:00,0.48,2014-12-15 00:00:00,2019-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000667.SZ,名流置业,XSHE,2019-05-15 00:00:00,0.19,2011-07-01 00:00:00,2019-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000681.SZ,视觉中国,XSHE,2019-05-15 00:00:00,0.24,2014-12-15 00:00:00,2021-12-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000685.SZ,中山公用,XSHE,2019-05-15 00:00:00,0.21,2012-01-04 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000686.SZ,东北证券,XSHE,2019-05-15 00:00:00,0.34,2018-06-11 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000690.SZ,宝新能源,XSHE,2019-05-15 00:00:00,0.32,2012-01-04 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000712.SZ,锦龙股份,XSHE,2019-05-15 00:00:00,0.15,2017-06-12 00:00:00,2020-12-14 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000717.SZ,韶钢松山,XSHE,2019-05-15 00:00:00,0.16,2018-12-17 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000718.SZ,苏宁环球,XSHE,2019-05-15 00:00:00,0.15,2017-12-11 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000723.SZ,美锦能源,XSHE,2019-05-15 00:00:00,0.56,2018-12-17 00:00:00,2019-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000727.SZ,华东科技,XSHE,2019-05-15 00:00:00,0.17,2016-06-13 00:00:00,2020-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000729.SZ,燕京啤酒,XSHE,2019-05-15 00:00:00,0.3,2017-06-12 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000732.SZ,泰禾集团,XSHE,2019-05-15 00:00:00,0.23,2017-06-12 00:00:00,2021-12-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000738.SZ,航发控制,XSHE,2019-05-15 00:00:00,0.22,2018-06-11 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000750.SZ,国海证券,XSHE,2019-05-15 00:00:00,0.41,2018-06-11 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000758.SZ,中色股份,XSHE,2019-05-15 00:00:00,0.16,2014-12-15 00:00:00,2022-06-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000761.SZ,本钢板材,XSHE,2019-05-15 00:00:00,0.04,2016-12-12 00:00:00,2020-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000766.SZ,通化金马,XSHE,2019-05-15 00:00:00,0.12,2017-06-12 00:00:00,2020-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000778.SZ,新兴铸管,XSHE,2019-05-15 00:00:00,0.34,2017-06-12 00:00:00,2025-06-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000807.SZ,云铝股份,XSHE,2019-05-15 00:00:00,0.2,2017-12-11 00:00:00,2023-12-11 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000813.SZ,德展健康,XSHE,2019-05-15 00:00:00,0.24,2018-06-11 00:00:00,2021-12-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000829.SZ,天音控股,XSHE,2019-05-15 00:00:00,0.08,2012-07-02 00:00:00,2019-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000830.SZ,鲁西化工,XSHE,2019-05-15 00:00:00,0.37,2007-01-15 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000848.SZ,承德露露,XSHE,2019-05-15 00:00:00,0.14,2011-07-01 00:00:00,2020-12-14 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000860.SZ,顺鑫农业,XSHE,2019-05-15 00:00:00,0.63,2007-01-15 00:00:00,2019-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000877.SZ,天山股份,XSHE,2019-05-15 00:00:00,0.18,2009-07-01 00:00:00,2022-06-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000878.SZ,云南铜业,XSHE,2019-05-15 00:00:00,0.23,2016-06-13 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000887.SZ,中鼎股份,XSHE,2019-05-15 00:00:00,0.2,2017-12-11 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000926.SZ,福星股份,XSHE,2019-05-15 00:00:00,0.15,2007-01-15 00:00:00,2019-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000930.SZ,丰原生化,XSHE,2019-05-15 00:00:00,0.25,2008-07-01 00:00:00,2024-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000932.SZ,华菱钢铁,XSHE,2019-05-15 00:00:00,0.22,2018-12-17 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000937.SZ,冀中能源,XSHE,2019-05-15 00:00:00,0.12,2016-06-13 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000960.SZ,锡业股份,XSHE,2019-05-15 00:00:00,0.29,2016-12-12 00:00:00,
