stock_code,valuation_date,pe_ttm,pb,roe_q4_annual,revenue_yoy_q4_annual
600761.SH,2026-06-26,13.6562,1.3049,11.58,11.3511
600066.SH,2026-06-26,13.0532,3.6569,38.03,11.3081
605338.SH,2026-06-26,16.3467,1.6978,11.97,11.2238
601689.SH,2026-06-26,35.2905,3.7282,12.37,11.2071
001391.SZ,2026-06-26,21.3756,1.8552,10.01,11.1451
300910.SZ,2026-06-26,17.0463,2.6658,20.99,11.1124
605277.SH,2026-06-26,35.5168,4.4113,13.98,11.1076
000682.SZ,2026-06-26,22.7932,2.746,16.5,11.0364
002402.SZ,2026-06-26,32.1252,2.9733,11.64,11.0041
002050.SZ,2026-06-26,42.6899,5.3523,15.8,10.9656
688129.SH,2026-06-26,47.6818,3.0289,11.19,10.9121
300634.SZ,2026-06-26,41.9374,2.909,10.16,10.7617
603194.SH,2026-06-26,18.0211,2.6804,16.8,10.6999
301552.SZ,2026-06-26,21.3189,2.3014,13.26,10.6997
603207.SH,2026-06-26,17.2291,3.0514,17.86,10.6824
605088.SH,2026-06-26,20.8495,1.9074,11.24,10.6653
603170.SH,2026-06-26,17.5103,2.9306,18.36,10.6563
002768.SZ,2026-06-26,23.1774,3.2814,15.72,10.5691
600577.SH,2026-06-26,35.2016,3.2668,10.07,10.5323
603075.SH,2026-06-26,27.8526,3.9223,15.33,10.4887
601009.SH,2026-06-26,5.6983,0.594,12.05,10.4805
301035.SZ,2026-06-26,16.9061,2.1632,14.68,10.4703
002318.SZ,2026-06-26,20.6046,2.4628,19.04,10.4432
300680.SZ,2026-06-26,39.8782,3.1104,11.86,10.3697
002273.SZ,2026-06-26,46.82,4.8866,12.45,10.3666
000807.SZ,2026-06-26,9.0824,2.1867,19.7,10.2708
603080.SH,2026-06-26,12.8836,1.6356,13.27,10.2463
601633.SH,2026-06-26,25.4648,1.4588,11.76,10.2033
600298.SH,2026-06-26,21.6857,2.4495,13.51,10.0805
600285.SH,2026-06-26,14.9419,3.0105,23.9,10.0707
603713.SH,2026-06-26,20.6344,2.4284,13.87,10.0417
